Model,R2,MAE,RMSE
Linear Regression,0.9919589010222649,1.5748890168076262,2.86674366218383
Decision Tree,0.978375404731299,1.761467889908257,4.701161285383927
Random Forest,0.9852376437409263,1.2991743119266053,3.8842663104687096
Gradient Boosting,0.9960667323515068,0.993157947309871,2.0049701309881547
Extra Trees,0.9862939235328713,1.1924311926605504,3.7427233988590407
XGBoost,0.9930971046501124,1.0009884965529137,2.6561145556542027
LightGBM,0.9810311093241381,1.661935126726999,4.403034859826295
CatBoost,0.9962371769028947,0.8029864436643577,1.9610472494774378
