iter	RMSE
244	1.119665565
245	1.11845166
246	1.116902679
247	1.110566541
248	1.105118673
249	1.104047148
250	1.102712997
251	1.101185309
252	1.10016534
253	1.094589182
254	1.092775233
255	1.091392438
256	1.090370986
257	1.085584238
258	1.084160435
259	1.083212079
260	1.082013997
261	1.080743939
262	1.076078873
263	1.071756396
264	1.07085934
265	1.067421591
266	1.066534831
267	1.065745381
268	1.060563212
269	1.054184863
270	1.053160151
271	1.047859431
272	1.047049957
273	1.041790949
274	1.037968924
275	1.036915061
276	1.033461848
277	1.032818927
278	1.028613669
279	1.027425849
280	1.025441249
281	1.021370798
282	1.02061738
283	1.018939432
284	1.018018216
285	1.013737687
286	1.010757761
287	1.009681953
288	1.00899026
289	1.00838437
290	1.004773188
291	1.003262297
292	1.001811636
293	0.997721268
294	0.9969256874
295	0.9940144434
296	0.9901862648
297	0.9855503858
298	0.9824506926
299	0.9781058462
300	0.9736720155
301	0.9705857839
302	0.9673552164
303	0.9640523302
304	0.9619030747
305	0.9591643026
306	0.9551606993
307	0.951891794
308	0.9486283003
309	0.9480513017
310	0.9441629034
311	0.9436124699
312	0.9416741821
313	0.9386423689
314	0.9347006863
315	0.9332325381
316	0.9320634152
317	0.9305575899
318	0.9280942306
319	0.9269589472
320	0.9265156193
321	0.9228956331
322	0.9211434021
323	0.9187293996
324	0.9183974373
325	0.9144828791
326	0.9135041298
327	0.912084729
328	0.9100001116
329	0.9067232136
330	0.9051606531
331	0.9038872713
332	0.9027180993
333	0.9017835436
334	0.8997220312
335	0.8968290631
336	0.8947702623
337	0.8919643127
338	0.8900637233
339	0.8870149326
340	0.8853811464
341	0.8835608523
342	0.882459156
343	0.8806197752
344	0.8794264677
345	0.8765079622
346	0.8739010126
347	0.8718553089
348	0.8692238761
349	0.8683871693
350	0.8666882942
351	0.8644934102
352	0.8635949013
353	0.8624734637
354	0.8600977496
355	0.8566804774
356	0.8558735735
357	0.8548213785
358	0.8522928754
359	0.8506108858
360	0.8481668249
361	0.8472800409
362	0.8443305333
363	0.8422445671
364	0.8408424581
365	0.8404534923
366	0.838230251
367	0.8367443686
368	0.8359747863
369	0.8331581156
370	0.8327889523
371	0.8312168895
372	0.8304739964
373	0.8292655047
374	0.8281175647
375	0.8268577009
376	0.8262093099
377	0.8259464448
378	0.8231790937
379	0.8205918776
380	0.818560361
381	0.8172898104
382	0.8150851806
383	0.8143908299
384	0.8115473816
385	0.8100522901
386	0.8080115639
387	0.8064980751
388	0.8052960339
389	0.8035498443
390	0.8019644137
391	0.8017336723
392	0.8003637737
393	0.7988512885
394	0.796095935
395	0.7954328392
396	0.7947876643
397	0.7926667617
398	0.7916002585
399	0.7905238501
400	0.7878953706
401	0.7863057101
402	0.7854065104
403	0.7851709897
404	0.7833188378
405	0.78090432
406	0.7796669614
407	0.7778418004
408	0.7774953474
409	0.7770105976
410	0.7760209238
411	0.7748667235
412	0.7730365042
413	0.7713132439
414	0.7687437452
415	0.7676853808
416	0.7668393551
417	0.7661421714
418	0.7643567196
419	0.7627637184
420	0.7612649885
421	0.7602400291
422	0.7595608236
423	0.7582315906
424	0.7575072793
425	0.7568505186
426	0.7557420567
427	0.7538623616
428	0.7535900715
429	0.7529019546
430	0.7518045488
431	0.7509863671
432	0.7495039231
433	0.7481086261
434	0.7466918096
435	0.7457558167
436	0.7438438302
437	0.7431660472
438	0.7414209873
439	0.7390882785
440	0.7384492803
441	0.7359673483
442	0.7346950957
443	0.7338933263
444	0.7331000223
445	0.7314874869
446	0.730578021
447	0.7298548875
448	0.7284846709
449	0.7267543155
450	0.7258822141
451	0.7249586045
452	0.7233998788
453	0.7229129754
454	0.7224510042
455	0.7219966605
456	0.7212150665
457	0.7204048683
458	0.7188917637
459	0.7176117407
460	0.7174390674
461	0.7159590881
462	0.7146369118
463	0.7131681037
464	0.7123617765
465	0.7115759943
466	0.7101356083
467	0.7093151403
468	0.7086898025
469	0.7071515992
470	0.706530786
471	0.7050873128
472	0.7039887343
473	0.7027212473
474	0.7015574657
475	0.7002318468
476	0.6989248137
477	0.6982214465
478	0.6970860969
479	0.6957890659
480	0.6945390431
481	0.693855478
482	0.6933411875
483	0.693088996
484	0.6917110808
485	0.6891287678
486	0.6867311219
487	0.6864652699
488	0.6857590576
489	0.6854385754
490	0.6851833709
491	0.68452406
492	0.6835445504
493	0.6828971408
494	0.682411361
495	0.68115721
496	0.6802704201
497	0.6787684246
498	0.6772201613
499	0.6765699189
500	0.6760825469
501	0.6758304883
502	0.6749135185
503	0.6735022446
504	0.6732617629
505	0.6727789472
506	0.6725047395
507	0.6718442389
508	0.6716291786
509	0.6711165236
510	0.6697224154
511	0.6695174102
512	0.6690245032
513	0.6672198243
514	0.6670192269
515	0.6664166165
516	0.6641949439
517	0.6636285264
518	0.6622279199
519	0.6618612214
520	0.6608461743
521	0.6595843133
522	0.6579709437
523	0.6564211119
524	0.6559925954
525	0.6549580078
526	0.6528510838
527	0.6526536194
528	0.6518570139
529	0.6513246601
530	0.650809537
531	0.6500837534
532	0.6496477712
533	0.6486287627
534	0.6476209678
535	0.646555717
536	0.6452292084
537	0.6442322016
538	0.6438383267
539	0.6427153573
540	0.6422288014
541	0.6412288867
542	0.6405322299
543	0.6401743982
544	0.6386520531
545	0.6369499542
546	0.6360967401
547	0.6349672104
548	0.6334005045
549	0.6318542902
550	0.6313914549
551	0.6309034772
552	0.6298200511
553	0.6284282845
554	0.6279141268
555	0.6261147019
556	0.6246856011
557	0.623379486
558	0.623165997
559	0.6228149797
560	0.6216572083
561	0.6207140856
562	0.6197277202
563	0.6195020153
564	0.6192085151
565	0.6180580442
566	0.6169007716
567	0.6158502766
568	0.6156012493
569	0.6145822919
570	0.6133157865
571	0.6131340105
572	0.6126807665
573	0.6109277085
574	0.6094745707
575	0.6084793979
576	0.6071547486
577	0.6057393679
578	0.6048540374
579	0.6041991956
580	0.6027320339
581	0.6013698385
582	0.6006861135
583	0.599445279
584	0.5989861064
585	0.5982999099
586	0.5975907863
587	0.5966299635
588	0.5962947805
589	0.5953757359
590	0.5940831448
591	0.5932080815
592	0.5927768326
593	0.5913125376
594	0.5909245826
595	0.5905982204
596	0.5904123686
597	0.5892582719
598	0.5887985924
599	0.5876760908
600	0.586936364
601	0.5860099242
602	0.5850367556
603	0.5846192723
604	0.5840765457
605	0.5832016313
606	0.5829976646
607	0.5818686141
608	0.5815930629
609	0.5808378983
610	0.5796844685
611	0.578790943
612	0.5786057718
613	0.5773134509
614	0.5769087229
615	0.5764788432
616	0.5759344675
617	0.5747232111
618	0.5735742814
619	0.5733295219
620	0.5732274526
621	0.5727643888
622	0.5723165304
623	0.5717313293
624	0.5711923539
625	0.5706028185
626	0.5695984628
627	0.5693632434
628	0.5676908981
629	0.5673386797
630	0.566848442
631	0.5662726338
632	0.5658011999
633	0.5656096345
634	0.5651571739
635	0.5642032832
636	0.5632548762
637	0.562074911
638	0.5615312823
639	0.5601659961
640	0.559260582
641	0.5575570777
642	0.5569219197
643	0.5564184692
644	0.5561802563
645	0.5557669676
646	0.5550973445
647	0.5547229893
648	0.5535689805
649	0.5526157895
650	0.5522931559
651	0.5522062167
652	0.5520408825
653	0.5511622647
654	0.5503374446
655	0.5486956518
656	0.5482737929
657	0.5480345842
658	0.5476133497
659	0.547222114
660	0.546351187
661	0.5455782711
662	0.5455033279
663	0.5446067238
664	0.5440075889
665	0.5439473837
666	0.5432456658
667	0.54251362
668	0.5418392131
669	0.5417506598
670	0.5409529781
671	0.5405952785
672	0.5399744076
673	0.5398916237
674	0.5389237242
675	0.5387492859
676	0.5383119192
677	0.537558412
678	0.5371659938
679	0.5368046808
680	0.5361611194
681	0.535969604
682	0.5350693227
683	0.534668007
684	0.5339336862
685	0.5323959319
686	0.5317316254
687	0.5316051815
688	0.5313604147
689	0.5304218856
690	0.530047039
691	0.5292812015
692	0.5288156167
693	0.5283131546
694	0.5282471279
695	0.5270304273
696	0.526736746
697	0.5263773032
698	0.5257881291
699	0.5248959423
700	0.5240892
701	0.5232934299
702	0.522684205
703	0.522017495
704	0.5214528705
705	0.5212873881
706	0.5208813879
707	0.5201007574
708	0.5196859718
709	0.518473473
710	0.5177962574
711	0.516955774
712	0.516194014
713	0.5159242579
714	0.5151668944
715	0.5142949504
716	0.5136625222
717	0.5133358533
718	0.5124324353
719	0.5117550768
720	0.5117066973
721	0.5112643044
722	0.5105883112
723	0.5102255909
724	0.5093523094
725	0.5087592033
726	0.5078900863
727	0.5075911787
728	0.5068644359
729	0.5060370387
730	0.5057026576
731	0.5046719676
732	0.5040810312
733	0.5037271859
734	0.5035578786
735	0.5034198879
736	0.5025192495
737	0.5018817769
738	0.5016140358
739	0.5015402257
740	0.5006618992
741	0.500363955
742	0.5002731503
743	0.500014457
744	0.4996615643
745	0.4990009339
746	0.4983154535
747	0.4977146966
748	0.497082696
749	0.4962037219
750	0.4961418522
751	0.4953650647
752	0.4944208026
753	0.4928425567
754	0.4915676365
755	0.4909672295
756	0.4909097729
757	0.4907100621
758	0.490381032
759	0.4899640917
760	0.4892845314
761	0.4890458183
762	0.4889774773
763	0.4885525812
764	0.4883961172
765	0.4881556504
766	0.4868774909
767	0.4864506825
768	0.4861568581
769	0.4854810336
770	0.4854404976
771	0.4851929993
772	0.484119761
773	0.4835407703
774	0.4829926981
775	0.4829113664
776	0.4821398994
777	0.4815114807
778	0.4809437454
779	0.4805058495
780	0.4802318572
781	0.4800040819
782	0.4792603477
783	0.4788579204
784	0.4781535493
785	0.4776194519
786	0.4768947446
787	0.4765988145
788	0.4754100616
789	0.4751187099
790	0.4743555187
791	0.474006578
792	0.4739344099
793	0.4734127332
794	0.4730040345
795	0.47277027
796	0.4725722873
797	0.4723267304
798	0.4716782868
799	0.4713615264
800	0.4712060038
801	0.4710146822
802	0.4705508206
803	0.4703128729
804	0.4696926699
805	0.4692498978
806	0.468687685
807	0.4684130583
808	0.4678066246
809	0.4672179707
810	0.4668856917
811	0.4667139056
812	0.4660731533
813	0.4657825338
814	0.4657432221
815	0.4652857828
816	0.4643699368
817	0.4635879791
818	0.4625516579
819	0.4621826594
820	0.4614960685
821	0.4603672127
822	0.4603213611
823	0.4602838267
824	0.4599713814
825	0.4599043727
826	0.4592991349
827	0.4592352136
828	0.4586896227
829	0.4580325877
830	0.457767378
831	0.4575587299
832	0.4573532887
833	0.4569044629
834	0.4557984375
835	0.4553156358
836	0.4548436204
837	0.4548080214
838	0.4544886503
839	0.4541083526
840	0.4540732095
841	0.4538132152
842	0.4531153444
843	0.4525682177
844	0.4522720201
845	0.4521413154
846	0.4516519269
847	0.4510572942
848	0.4503385882
849	0.4499085798
850	0.4498734198
851	0.4497308172
852	0.4494720858
853	0.4492658869
854	0.4489515994
855	0.448454698
856	0.4482060686
857	0.4478424581
858	0.4473023658
859	0.4464648091
860	0.445848155
861	0.4456185413
862	0.4444309722
863	0.4438469942
864	0.4431358688
865	0.4426827275
866	0.4424993576
867	0.4421216321
868	0.4418764847
869	0.4415547505
870	0.4408909957
871	0.4406904914
872	0.440433627
873	0.4399858844
874	0.439536488
875	0.4385326391
876	0.4378214203
877	0.4373525315
878	0.4371615283
879	0.4370882199
880	0.4370558495
881	0.4368191937
882	0.4367747735
883	0.4361364382
884	0.4357364291
885	0.4353647854
886	0.4349780643
887	0.4340770108
888	0.4335122694
889	0.4332868193
890	0.4326368966
891	0.4319731394
892	0.4315152717
893	0.4312825195
894	0.4307015464
895	0.4304058891
896	0.4300741051
897	0.4298164681
898	0.4288701825
899	0.4283422816
900	0.4280534308
901	0.4278995928
902	0.4278651903
903	0.4272385652
904	0.4264170332
905	0.425842878
906	0.4258004826
907	0.4257674179
908	0.4249979501
909	0.4245183903
910	0.4243120931
911	0.4240802545
912	0.4235264006
913	0.4230980841
914	0.4227255364
915	0.422244521
916	0.4218507968
917	0.4210255212
918	0.4206134231
919	0.4204302894
920	0.420208599
921	0.4194167818
922	0.41938803
923	0.4187397915
924	0.4182302443
925	0.4175371697
926	0.4170877708
927	0.4168022753
928	0.4162905453
929	0.4161244331
930	0.4153582593
931	0.415329551
932	0.4148677915
933	0.414784553
934	0.4140814574
935	0.4134774418
936	0.4134022671
937	0.4130606312
938	0.4128650682
939	0.412584134
940	0.4124943326
941	0.4119798606
942	0.411077989
943	0.4103945932
944	0.4098913144
945	0.4094767505
946	0.4092548704
947	0.4087620049
948	0.408268873
949	0.4077919833
950	0.4073617782
951	0.4068696486
952	0.4064980962
953	0.4059605999
954	0.4054816147
955	0.4051190063
956	0.4049315652
957	0.4045084346
958	0.4037613796
959	0.4036367112
960	0.4033445707
961	0.4030425615
962	0.4028670128
963	0.4024385223
964	0.4021729513
965	0.4014215271
966	0.4008063669
967	0.4005931665
968	0.4002664577
969	0.3997298227
970	0.3993026887
971	0.3990925003
972	0.3988718154
973	0.3988356506
974	0.3987003236
975	0.3981641224
976	0.3977037813
977	0.3972523604
978	0.3968055178
979	0.3964410029
980	0.3959510056
981	0.3955142092
982	0.3953995852
983	0.3951696783
984	0.3946610061
985	0.3942487424
986	0.3940046329
987	0.3929946306
988	0.3928803
989	0.3926305957
990	0.392350213
991	0.391743084
992	0.3911689857
993	0.3905343871
994	0.3899605521
995	0.3894399615
996	0.3894008702
997	0.389013872
998	0.3886121702
999	0.3881336584
